103 1573564192 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564193 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564194 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564195 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564196 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564197 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564198 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564199 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564200 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564201 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564207 0,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564208 0,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564209 0,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564210 0,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564211 0,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564212 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564213 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564214 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564215 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564216 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564222 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564223 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564224 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564225 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564226 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564227 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564228 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564229 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564230 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564231 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564232 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564233 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564234 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564235 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564236 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564242 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564243 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564244 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564245 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564246 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564252 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564253 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564254 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564255 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564256 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564257 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564258 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564259 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564260 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564261 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564262 2,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564263 2,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564264 2,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564265 2,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564266 2,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564272 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564273 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564274 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564275 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564276 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564277 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564278 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564279 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564280 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564281 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564282 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564283 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564284 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564285 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564286 2,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564287 1,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564288 1,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564289 1,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564290 1,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564291 1,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564292 3,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564293 3,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564294 3,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564295 3,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564296 3,600000 -1,000000 -101,000000 0,000000 0,000000
103 1573564297 0,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564298 0,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564299 0,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564300 0,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564301 0,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564302 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564303 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564304 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564305 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564306 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564307 2,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564308 2,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564309 2,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564310 2,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564311 2,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564312 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564313 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564314 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564315 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564316 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564317 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564318 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564319 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564320 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564321 0,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564322 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564323 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564324 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564325 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564326 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564327 0,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564328 0,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564329 0,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564330 0,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564331 0,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564332 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564333 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564334 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564335 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564336 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564337 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564338 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564339 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564340 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564341 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564342 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564343 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564344 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564345 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564346 3,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564347 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564348 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564349 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564350 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564351 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564352 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564353 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564354 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564355 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564356 3,000000 -1,000000 -101,000000 0,000000 0,000000
103 1573564357 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564358 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564359 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564360 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564361 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564362 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564363 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564364 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564365 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564366 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564367 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564368 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564369 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564370 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564371 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564372 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564373 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564374 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564375 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564376 1,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564377 3,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564378 3,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564379 3,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564380 3,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564381 3,800000 -1,000000 -101,000000 0,000000 0,000000
103 1573564382 3,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564383 3,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564384 3,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564385 3,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564386 3,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564387 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564388 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564389 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564390 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564391 1,400000 -1,000000 -101,000000 0,000000 0,000000
103 1573564392 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564393 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564394 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564395 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564396 1,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564397 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564398 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564399 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564400 2,200000 -1,000000 -101,000000 0,000000 0,000000
103 1573564401 2,200000 -1,000000 -101,000000 0,000000 0,000000
